material_id,d33_value
mp-4174,-8.557389516460616e-17
mp-4510,-2.6027895095254768e-18
mp-4964,-3.620806542248855e-16
mp-505297,-6.889437860526644e-16
mp-5222,2.6486737880597877e-17
mp-545756,-9.278188139007831e-15
mp-546633,-3.846305714358363e-16
mp-546711,-7.42223517440495e-17
mp-554769,8.651710373630846e-17
mp-567636,1.0962900583628325e-15
mp-568269,3.5521434388533083e-16
mp-569779,-2.2625669130974823e-16
mp-570213,-4.193051515675397e-17
mp-5920,1.3729831427814713e-17
mp-5967,-3.094533129214557e-16
mp-7173,-1.376744384081515e-16
mp-7575,-1.3550867958319397e-17
mp-759877,-1.946780677805082e-15
mp-9124,1.7666059726311482e-17
mp-924128,2.0964724359318904e-18
mp-924129,-5.323912740496037e-18
mp-924130,2.987610544637235e-17
mp-9437,3.480594817105865e-16
mp-961665,-9.658869210686314e-17
mp-961673,-7.875733281043505e-16
mp-961675,3.607799596702253e-16
mp-961682,-3.829687450448055e-17
mp-961684,-4.565501707036525e-16
mp-961685,2.6148974016386427e-18
mp-961687,-3.5819310508821536e-17
mp-961693,-1.715252994023883e-16
mp-961698,1.3111267162171334e-16
mp-961706,2.4102684282814244e-16
mp-961711,-3.0614210951360064e-16
mp-961713,2.59440165127074e-18
mp-999052,9.883949339647776e-16
mp-753671,0.0
mp-4681,4.738594075392503e-16
mp-644419,-5.463740037760346e-16
mp-20817,0.0362082982193412
mp-27367,-1.864103936759188e-15
mp-4627,-0.0725610885511104
mp-9270,7.2294372346043985e-19
mp-761842,-0.0113228014355022
mp-13725,7.072663604721789
mp-23803,3.904454447824784e-17
mp-23807,1.1363386124044402e-17
mp-35082,3.187990322547759e-15
mp-3934,-9.31175469381196
mp-510346,1.6041465223784656e-16
mp-510347,-2.206036096604137e-17
mp-5540,0.9120896641253914
mp-755543,0.0
mp-769365,-7.448603943980839
mp-777422,-1.9369273282577382e-20
mp-9711,-3.4084973450668266e-18
mp-1016108,8.239046504082712
mp-1019550,3.2128271204213537
mp-1029469,5.513762147100382
mp-1029633,33.104281533686695
mp-1029791,10.52227919649632
mp-1029932,8.799203150852149
mp-11582,3.164249577204929
mp-1189451,0.4412027094474776
mp-20310,-6.945855351593325
mp-2979,2.323418877121536
mp-3606,5.314585584754365
mp-3677,7.984701488621688
mp-7798,7.0787816047194845
mp-7913,0.9318372833256304
mp-23558,-3.45577808623746e-17
mp-4117,8.502418999712628
mp-20337,0.0
mp-34328,0.0
mp-5246,0.0
mp-569450,2.952732517057172e-19
mp-5777,0.0
mp-752415,0.0
mp-1020059,-2.010026842529554
mp-1029262,-4.968866114493731
mp-1029294,6.773834329201011
mp-1029334,3.098916253815784
mp-1029368,-30.42942864925583
mp-1029378,10.344650735341537
mp-1029403,1.9960354028155236
mp-1029404,0.8946142952638519
mp-1029408,-26.002624276276663
mp-1029422,-4.956678238913113
mp-1029442,-21.80563523821236
mp-13542,-3.2801324676230456e-17
mp-14433,2.0224316236720097
mp-14568,4.962537742606857e-19
mp-21521,6.863770219778851
mp-22756,5.382491758163649
mp-28264,5.388378700446059e-16
mp-28369,-7.978215715669383e-15
mp-3281,-3.2387098488761057e-19
